sample,time_raw,adc,mv
420,8380000,10,0
421,8400000,10,0
422,8420000,10,0
423,8440000,10,0
424,8460000,10,0
425,8480000,10,0
426,8500000,10,0
427,8520000,10,0
428,8540000,10,0
429,8560000,10,0
430,8580000,10,0
431,8600000,10,0
432,8620000,10,0
433,8640000,10,0
434,8660000,10,0
435,8680000,10,0
436,8700000,10,0
437,8720000,-279,-4
438,8740000,10,0
439,8760000,-279,-4
440,8780000,10,0
441,8800000,10,0
442,8820000,10,0
443,8840000,10,0
444,8860000,10,0
445,8880000,10,0
446,8900000,-279,-4
447,8920000,10,0
448,8940000,10,0
449,8960000,10,0
450,8980000,-279,-4
451,9000000,10,0
452,9020000,10,0
453,9040000,10,0
454,9060000,10,0
455,9080000,10,0
456,9100000,10,0
457,9120000,10,0
458,9140000,10,0
459,9160000,10,0
460,9180000,10,0
461,9200000,10,0
462,9220000,10,0
463,9240000,10,0
464,9260000,10,0
465,9280000,299,4
466,9300000,10,0
467,9320000,10,0
468,9340000,299,4
469,9360000,10,0
470,9380000,10,0
471,9400000,10,0
472,9420000,299,4
473,9440000,10,0
474,9460000,299,4
475,9480000,10,0
476,9500000,10,0
477,9520000,299,4
478,9540000,10,0
479,9560000,10,0
480,9580000,10,0
481,9600000,299,4
482,9620000,10,0
483,9640000,299,4
484,9660000,10,0
485,9680000,10,0
486,9700000,10,0
487,9720000,10,0
488,9740000,10,0
489,9760000,10,0
490,9780000,10,0
491,9800000,10,0
492,9820000,10,0
493,9840000,10,0
494,9860000,10,0
495,9880000,-279,-4
496,9900000,10,0
497,9920000,-279,-4
498,9940000,10,0
499,9960000,-279,-4
500,9980000,-279,-4
501,10000000,-279,-4
502,10020000,-279,-4
503,10040000,-279,-4
504,10060000,-279,-4
505,10080000,-279,-4
506,10100000,-279,-4
507,10120000,-279,-4
508,10140000,-279,-4
509,10160000,-279,-4
510,10180000,-279,-4
511,10200000,-279,-4
512,10220000,-279,-4
513,10240000,-279,-4
514,10260000,-279,-4
515,10280000,10,0
516,10300000,10,0
517,10320000,10,0
518,10340000,10,0
519,10360000,10,0
520,10380000,10,0
521,10400000,10,0
522,10420000,10,0
523,10440000,10,0
524,10460000,10,0
525,10480000,10,0
526,10500000,10,0
527,10520000,10,0
528,10540000,10,0
529,10560000,10,0
530,10580000,299,4
531,10600000,299,4
532,10620000,299,4
533,10640000,299,4
534,10660000,10,0
535,10680000,299,4
536,10700000,299,4
537,10720000,299,4
538,10740000,10,0
539,10760000,299,4
540,10780000,299,4
541,10800000,299,4
542,10820000,10,0
543,10840000,10,0
544,10860000,10,0
545,10880000,10,0
546,10900000,10,0
547,10920000,10,0
548,10940000,10,0
549,10960000,10,0
550,10980000,10,0
551,11000000,10,0
552,11020000,10,0
553,11040000,10,0
554,11060000,10,0
555,11080000,10,0
556,11100000,10,0
557,11120000,10,0
558,11140000,10,0
559,11160000,-279,-4
560,11180000,10,0
561,11200000,10,0
562,11220000,10,0
563,11240000,10,0
564,11260000,-279,-4
565,11280000,-279,-4
566,11300000,10,0
567,11320000,-279,-4
568,11340000,10,0
569,11360000,10,0
570,11380000,10,0
571,11400000,-279,-4
572,11420000,10,0
573,11440000,10,0
574,11460000,10,0
575,11480000,10,0
576,11500000,10,0
577,11520000,10,0
578,11540000,10,0
579,11560000,10,0
580,11580000,10,0
581,11600000,10,0
582,11620000,10,0
583,11640000,10,0
584,11660000,10,0
585,11680000,10,0
586,11700000,10,0
587,11720000,10,0
588,11740000,10,0
589,11760000,10,0
590,11780000,10,0
591,11800000,10,0
592,11820000,10,0
593,11840000,10,0
594,11860000,10,0
595,11880000,10,0
596,11900000,10,0
597,11920000,10,0
598,11940000,10,0
599,11960000,10,0
600,11980000,299,4
601,12000000,10,0
602,12020000,10,0
603,12040000,10,0
604,12060000,10,0
605,12080000,10,0
606,12100000,10,0
607,12120000,299,4
608,12140000,299,4
609,12160000,299,4
610,12180000,10,0
611,12200000,10,0
612,12220000,10,0
613,12240000,299,4
614,12260000,10,0
615,12280000,299,4
616,12300000,10,0
617,12320000,10,0
618,12340000,299,4
619,12360000,10,0
620,12380000,10,0
621,12400000,10,0
622,12420000,10,0
623,12440000,10,0
624,12460000,299,4
625,12480000,10,0
626,12500000,10,0
627,12520000,10,0
628,12540000,10,0
629,12560000,10,0
630,12580000,10,0
631,12600000,-279,-4
632,12620000,10,0
633,12640000,-279,-4
634,12660000,10,0
635,12680000,-279,-4
636,12700000,10,0
637,12720000,-279,-4
638,12740000,-279,-4
639,12760000,10,0
640,12780000,-279,-4
641,12800000,-279,-4
642,12820000,-279,-4
643,12840000,-279,-4
644,12860000,-279,-4
645,12880000,-279,-4
646,12900000,10,0
647,12920000,-279,-4
648,12940000,10,0
649,12960000,10,0
650,12980000,-279,-4
651,13000000,10,0
652,13020000,-279,-4
653,13040000,10,0
654,13060000,10,0
655,13080000,10,0
656,13100000,10,0
657,13120000,10,0
658,13140000,-279,-4
659,13160000,10,0
660,13180000,10,0
661,13200000,10,0
662,13220000,10,0
663,13240000,10,0
664,13260000,10,0
665,13280000,10,0
666,13300000,10,0
667,13320000,299,4
668,13340000,10,0
669,13360000,10,0
670,13380000,299,4
671,13400000,10,0
672,13420000,10,0
673,13440000,299,4
674,13460000,10,0
675,13480000,10,0
676,13500000,10,0
677,13520000,299,4
678,13540000,299,4
679,13560000,10,0
680,13580000,10,0
681,13600000,10,0
682,13620000,299,4
683,13640000,10,0
684,13660000,10,0
685,13680000,10,0
686,13700000,10,0
687,13720000,10,0
688,13740000,10,0
689,13760000,10,0
690,13780000,10,0
691,13800000,10,0
692,13820000,10,0
693,13840000,-279,-4
694,13860000,10,0
695,13880000,10,0
696,13900000,10,0
697,13920000,-279,-4
698,13940000,10,0
699,13960000,-279,-4
700,13980000,-279,-4
701,14000000,-279,-4
702,14020000,-279,-4
703,14040000,-279,-4
704,14060000,-279,-4
705,14080000,10,0
706,14100000,10,0
707,14120000,-279,-4
708,14140000,-279,-4
709,14160000,10,0
710,14180000,-279,-4
711,14200000,10,0
712,14220000,10,0
713,14240000,10,0
714,14260000,10,0
715,14280000,10,0
716,14300000,10,0
717,14320000,10,0
718,14340000,10,0
719,14360000,10,0
720,14380000,10,0
721,14400000,10,0
722,14420000,10,0
723,14440000,10,0
724,14460000,10,0
725,14480000,10,0
726,14500000,10,0
727,14520000,10,0
728,14540000,10,0
729,14560000,10,0
730,14580000,10,0
731,14600000,10,0
732,14620000,10,0
733,14640000,10,0
734,14660000,10,0
735,14680000,10,0
736,14700000,10,0
737,14720000,10,0
738,14740000,10,0
739,14760000,10,0
740,14780000,10,0
741,14800000,10,0
742,14820000,10,0
743,14840000,10,0
744,14860000,10,0
745,14880000,10,0
746,14900000,10,0
747,14920000,10,0
748,14940000,10,0
749,14960000,10,0
750,14980000,10,0
751,15000000,10,0
752,15020000,10,0
753,15040000,10,0
754,15060000,10,0
755,15080000,10,0
756,15100000,10,0
757,15120000,10,0
758,15140000,10,0
759,15160000,10,0
760,15180000,10,0
761,15200000,10,0
762,15220000,10,0
763,15240000,10,0
764,15260000,10,0
765,15280000,10,0
766,15300000,10,0
767,15320000,10,0
768,15340000,10,0
769,15360000,10,0
770,15380000,10,0
771,15400000,10,0
772,15420000,10,0
773,15440000,10,0
774,15460000,10,0
775,15480000,10,0
776,15500000,10,0
777,15520000,-279,-4
778,15540000,10,0
779,15560000,10,0
780,15580000,-279,-4
781,15600000,10,0
782,15620000,10,0
783,15640000,10,0
784,15660000,10,0
785,15680000,10,0
786,15700000,10,0
787,15720000,10,0
788,15740000,10,0
789,15760000,10,0
790,15780000,10,0
791,15800000,10,0
792,15820000,10,0
793,15840000,10,0
794,15860000,10,0
795,15880000,10,0
796,15900000,10,0
797,15920000,10,0
798,15940000,10,0
799,15960000,10,0
800,15980000,10,0
801,16000000,10,0
802,16020000,10,0
803,16040000,10,0
804,16060000,10,0
805,16080000,10,0
806,16100000,10,0
807,16120000,10,0
808,16140000,10,0
809,16160000,10,0
810,16180000,10,0
811,16200000,10,0
812,16220000,10,0
813,16240000,10,0
814,16260000,10,0
815,16280000,10,0
816,16300000,10,0
817,16320000,10,0
818,16340000,10,0
819,16360000,10,0
820,16380000,10,0
821,16400000,10,0
822,16420000,10,0
823,16440000,10,0
824,16460000,10,0
825,16480000,10,0
826,16500000,10,0
827,16520000,10,0
828,16540000,10,0
829,16560000,10,0
830,16580000,10,0
831,16600000,-279,-4
832,16620000,-279,-4
833,16640000,10,0
834,16660000,-279,-4
835,16680000,-279,-4
836,16700000,10,0
837,16720000,10,0
838,16740000,10,0
839,16760000,10,0
840,16780000,10,0
841,16800000,10,0
842,16820000,10,0
843,16840000,-279,-4
844,16860000,10,0
845,16880000,10,0
846,16900000,10,0
847,16920000,10,0
848,16940000,-279,-4
849,16960000,-279,-4
850,16980000,10,0
851,17000000,10,0
852,17020000,10,0
853,17040000,10,0
854,17060000,-279,-4
855,17080000,10,0
856,17100000,10,0
857,17120000,10,0
858,17140000,10,0
859,17160000,10,0
860,17180000,10,0
861,17200000,10,0
862,17220000,10,0
863,17240000,10,0
864,17260000,10,0
865,17280000,10,0
866,17300000,10,0
867,17320000,10,0
868,17340000,10,0
869,17360000,10,0
870,17380000,10,0
871,17400000,10,0
872,17420000,10,0
873,17440000,10,0
874,17460000,10,0
875,17480000,10,0
876,17500000,10,0
877,17520000,10,0
878,17540000,10,0
879,17560000,10,0
880,17580000,10,0
881,17600000,10,0
882,17620000,10,0
883,17640000,10,0
884,17660000,10,0
885,17680000,10,0
886,17700000,10,0
887,17720000,10,0
888,17740000,10,0
889,17760000,10,0
890,17780000,10,0
891,17800000,10,0
892,17820000,10,0
893,17840000,10,0
894,17860000,10,0
895,17880000,10,0
896,17900000,10,0
897,17920000,10,0
898,17940000,10,0
899,17960000,10,0
900,17980000,10,0
901,18000000,10,0
902,18020000,-279,-4
903,18040000,10,0
904,18060000,10,0
905,18080000,10,0
906,18100000,10,0
907,18120000,10,0
908,18140000,10,0
909,18160000,10,0
910,18180000,10,0
911,18200000,10,0
912,18220000,10,0
913,18240000,10,0
914,18260000,10,0
915,18280000,10,0
916,18300000,10,0
917,18320000,10,0
918,18340000,10,0
919,18360000,10,0
920,18380000,10,0
921,18400000,10,0
922,18420000,10,0
923,18440000,10,0
924,18460000,10,0
925,18480000,10,0
926,18500000,10,0
927,18520000,10,0
928,18540000,10,0
929,18560000,10,0
930,18580000,10,0
931,18600000,10,0
932,18620000,10,0
933,18640000,10,0
934,18660000,10,0
935,18680000,10,0
936,18700000,10,0
937,18720000,10,0
938,18740000,10,0
939,18760000,10,0
940,18780000,10,0
941,18800000,10,0
942,18820000,10,0
943,18840000,10,0
944,18860000,10,0
945,18880000,10,0
946,18900000,10,0
947,18920000,10,0
948,18940000,10,0
949,18960000,10,0
950,18980000,10,0
951,19000000,10,0
952,19020000,10,0
953,19040000,10,0
954,19060000,10,0
955,19080000,10,0
956,19100000,10,0
957,19120000,10,0
958,19140000,10,0
959,19160000,10,0
960,19180000,10,0
961,19200000,10,0
962,19220000,10,0
963,19240000,10,0
964,19260000,10,0
965,19280000,10,0
966,19300000,-279,-4
967,19320000,10,0
968,19340000,10,0
969,19360000,10,0
970,19380000,10,0
971,19400000,10,0
972,19420000,-279,-4
973,19440000,10,0
974,19460000,10,0
975,19480000,10,0
976,19500000,10,0
977,19520000,10,0
978,19540000,10,0
979,19560000,10,0
980,19580000,10,0
981,19600000,10,0
982,19620000,10,0
983,19640000,10,0
984,19660000,10,0
985,19680000,10,0
986,19700000,10,0
987,19720000,10,0
988,19740000,10,0
989,19760000,10,0
990,19780000,10,0
991,19800000,10,0
992,19820000,10,0
993,19840000,10,0
994,19860000,10,0
995,19880000,10,0
996,19900000,10,0
997,19920000,10,0
998,19940000,10,0
999,19960000,10,0
1000,19980000,10,0
1001,20000000,10,0
1002,20020000,10,0
1003,20040000,10,0
1004,20060000,10,0
1005,20080000,10,0
1006,20100000,10,0
1007,20120000,10,0
1008,20140000,10,0
1009,20160000,10,0
1010,20180000,-279,-4
1011,20200000,10,0
1012,20220000,10,0
1013,20240000,10,0
1014,20260000,10,0
1015,20280000,10,0
1016,20300000,10,0
1017,20320000,10,0
1018,20340000,10,0
1019,20360000,10,0
1020,20380000,10,0
1021,20400000,10,0
1022,20420000,10,0
1023,20440000,10,0
1024,20460000,10,0
1025,20480000,10,0
1026,20500000,10,0
1027,20520000,10,0
1028,20540000,10,0
1029,20560000,10,0
1030,20580000,10,0
1031,20600000,10,0
1032,20620000,10,0
1033,20640000,10,0
1034,20660000,10,0
1035,20680000,10,0
1036,20700000,10,0
1037,20720000,10,0
1038,20740000,10,0
1039,20760000,10,0
1040,20780000,10,0
1041,20800000,10,0
1042,20820000,10,0
1043,20840000,10,0
1044,20860000,10,0
1045,20880000,10,0
1046,20900000,10,0
1047,20920000,10,0
1048,20940000,10,0
1049,20960000,10,0
1050,20980000,10,0
1051,21000000,10,0
1052,21020000,10,0
1053,21040000,10,0
1054,21060000,10,0
1055,21080000,10,0
1056,21100000,10,0
1057,21120000,10,0
1058,21140000,10,0
1059,21160000,10,0
1060,21180000,10,0
1061,21200000,10,0
1062,21220000,10,0
1063,21240000,10,0
1064,21260000,10,0
1065,21280000,10,0
1066,21300000,10,0
1067,21320000,10,0
1068,21340000,10,0
1069,21360000,10,0
1070,21380000,10,0
1071,21400000,10,0
1072,21420000,-279,-4
1073,21440000,10,0
1074,21460000,10,0
1075,21480000,10,0
1076,21500000,10,0
1077,21520000,10,0
1078,21540000,10,0
1079,21560000,10,0
1080,21580000,10,0
1081,21600000,-279,-4
1082,21620000,10,0
1083,21640000,10,0
1084,21660000,10,0
1085,21680000,10,0
1086,21700000,10,0
1087,21720000,10,0
1088,21740000,10,0
1089,21760000,10,0
1090,21780000,10,0
1091,21800000,10,0
1092,21820000,10,0
1093,21840000,10,0
1094,21860000,10,0
1095,21880000,10,0
1096,21900000,10,0
1097,21920000,10,0
1098,21940000,10,0
1099,21960000,10,0
1100,21980000,10,0
1101,22000000,10,0
1102,22020000,-279,-4
1103,22040000,10,0
1104,22060000,10,0
1105,22080000,10,0
1106,22100000,10,0
1107,22120000,10,0
1108,22140000,10,0
1109,22160000,10,0
1110,22180000,10,0
1111,22200000,10,0
1112,22220000,10,0
1113,22240000,10,0
1114,22260000,10,0
1115,22280000,10,0
1116,22300000,10,0
1117,22320000,10,0
1118,22340000,10,0
1119,22360000,10,0
1120,22380000,10,0
1121,22400000,10,0
1122,22420000,10,0
1123,22440000,10,0
1124,22460000,10,0
1125,22480000,10,0
1126,22500000,10,0
1127,22520000,10,0
1128,22540000,10,0
1129,22560000,10,0
1130,22580000,10,0
1131,22600000,10,0
1132,22620000,10,0
1133,22640000,10,0
1134,22660000,10,0
1135,22680000,10,0
1136,22700000,10,0
1137,22720000,10,0
1138,22740000,10,0
1139,22760000,10,0
1140,22780000,10,0
1141,22800000,10,0
1142,22820000,10,0
1143,22840000,10,0
1144,22860000,10,0
1145,22880000,-279,-4
1146,22900000,10,0
1147,22920000,-279,-4
1148,22940000,10,0
1149,22960000,10,0
1150,22980000,10,0
1151,23000000,10,0
1152,23020000,10,0
1153,23040000,10,0
1154,23060000,10,0
1155,23080000,10,0
1156,23100000,10,0
1157,23120000,10,0
1158,23140000,10,0
1159,23160000,10,0
1160,23180000,10,0
1161,23200000,10,0
1162,23220000,10,0
1163,23240000,10,0
1164,23260000,10,0
1165,23280000,10,0
1166,23300000,10,0
1167,23320000,10,0
1168,23340000,10,0
1169,23360000,10,0
1170,23380000,10,0
1171,23400000,10,0
1172,23420000,10,0
1173,23440000,10,0
1174,23460000,-279,-4
1175,23480000,10,0
1176,23500000,10,0
1177,23520000,10,0
1178,23540000,10,0
1179,23560000,10,0
1180,23580000,10,0
1181,23600000,10,0
1182,23620000,10,0
1183,23640000,10,0
1184,23660000,10,0
1185,23680000,-279,-4
1186,23700000,10,0
1187,23720000,10,0
1188,23740000,10,0
1189,23760000,10,0
1190,23780000,-279,-4
1191,23800000,10,0
1192,23820000,10,0
1193,23840000,10,0
1194,23860000,10,0
1195,23880000,10,0
1196,23900000,10,0
1197,23920000,10,0
1198,23940000,10,0
1199,23960000,10,0
1200,23980000,10,0
1201,24000000,10,0
1202,24020000,10,0
1203,24040000,10,0
1204,24060000,10,0
1205,24080000,10,0
1206,24100000,10,0
1207,24120000,10,0
1208,24140000,10,0
1209,24160000,10,0
1210,24180000,10,0
1211,24200000,10,0
1212,24220000,10,0
1213,24240000,10,0
1214,24260000,10,0
1215,24280000,10,0
1216,24300000,10,0
1217,24320000,10,0
1218,24340000,10,0
1219,24360000,10,0
1220,24380000,10,0
1221,24400000,-279,-4
1222,24420000,10,0
1223,24440000,10,0
1224,24460000,10,0
1225,24480000,10,0
1226,24500000,-279,-4
1227,24520000,10,0
1228,24540000,10,0
1229,24560000,10,0
1230,24580000,10,0
1231,24600000,10,0
1232,24620000,-279,-4
1233,24640000,10,0
1234,24660000,-279,-4
1235,24680000,10,0
1236,24700000,10,0
1237,24720000,10,0
1238,24740000,10,0
1239,24760000,10,0
1240,24780000,10,0
1241,24800000,10,0
1242,24820000,10,0
1243,24840000,10,0
1244,24860000,10,0
1245,24880000,10,0
1246,24900000,10,0
1247,24920000,10,0
1248,24940000,10,0
1249,24960000,10,0
1250,24980000,10,0
1251,25000000,10,0
1252,25020000,10,0
1253,25040000,10,0
1254,25060000,10,0
1255,25080000,10,0
1256,25100000,10,0
1257,25120000,10,0
1258,25140000,10,0
1259,25160000,10,0
1260,25180000,10,0
1261,25200000,10,0
1262,25220000,10,0
1263,25240000,-279,-4
1264,25260000,10,0
1265,25280000,-279,-4
1266,25300000,10,0
1267,25320000,10,0
1268,25340000,-279,-4
1269,25360000,10,0
1270,25380000,-279,-4
1271,25400000,10,0
1272,25420000,10,0
1273,25440000,10,0
1274,25460000,10,0
1275,25480000,10,0
1276,25500000,-279,-4
1277,25520000,10,0
1278,25540000,10,0
1279,25560000,10,0
1280,25580000,10,0
1281,25600000,-279,-4
1282,25620000,10,0
1283,25640000,10,0
1284,25660000,10,0
1285,25680000,10,0
1286,25700000,10,0
1287,25720000,10,0
1288,25740000,10,0
1289,25760000,10,0
1290,25780000,10,0
1291,25800000,10,0
1292,25820000,10,0
1293,25840000,10,0
1294,25860000,10,0
1295,25880000,10,0
1296,25900000,10,0
1297,25920000,10,0
1298,25940000,10,0
1299,25960000,10,0
1300,25980000,10,0
1301,26000000,10,0
1302,26020000,10,0
1303,26040000,10,0
1304,26060000,10,0
1305,26080000,10,0
1306,26100000,10,0
1307,26120000,10,0
1308,26140000,10,0
1309,26160000,10,0
1310,26180000,10,0
1311,26200000,10,0
1312,26220000,10,0
1313,26240000,10,0
1314,26260000,10,0
1315,26280000,10,0
1316,26300000,10,0
1317,26320000,10,0
1318,26340000,10,0
1319,26360000,10,0
1320,26380000,10,0
1321,26400000,10,0
1322,26420000,10,0
1323,26440000,10,0
